#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
3123,Jommer Hernandez,678912,678912,sa3005586,TOR,C,C
3124,Jon Berti,542932,12037,12037,MIA,2B/3B,2B/3B
3125,Jon Duplantier,641541,641541,19546,LAD,SP,SP
3126,Jon Edwards,457754,1483,1483,FA,RP,RP
3127,Jon Gray,592351,14916,14916,TEX,SP,SP
3128,Jon Jay,445055,5227,5227,FA,OF,OF
3129,Jon Lester,452657,4930,4930,FA,SP,SP
3130,Jon Olczak,664144,664144,sa875297,HOU,RP,RP
3131,Jon Rosoff,674418,674418,sa3007635,DET,C,C
3132,Jonah Arenado,643198,643198,sa738199,FA,3b,3b
3133,Jonah Bride,681146,681146,sa3007516,OAK,3B,3B
3134,Jonah Davis,663495,663495,sa3007501,STL,OF,OF
3135,Jonah Dipoto,665167,665167,sa3010776,KC,RP,RP
3136,Jonah Heim,641680,16930,16930,TEX,C,C
3137,Jonatan Clase,682729,682729,sa3008787,SEA,OF,OF
3138,Jonatan Machado,671054,671054,sa924310,FA,OF,OF
3139,Jonathan Almonte,681163,681163,sa3008275,ARI,RP,RP
3140,Jonathan Aranda,666018,666018,sa919293,TB,2B,2B
3141,Jonathan Arauz,660620,660620,20275,BOS,SS,2B/SS
3142,Jonathan Aro,608167,608167,14699,FA,RP,RP
3143,Jonathan Bermudez,642834,642834,sa3007832,HOU,SP,SP
3144,Jonathan Bowlan,680742,680742,sa3006973,KC,SP,SP
3145,Jonathan Butler,695358,695358,sa3017292,OAK,OF,OF
3146,Jonathan Davis,641505,641505,15104,MIL,OF,OF
3147,Jonathan Deluca,676356,676356,sa3011644,LAD,OF,OF
3148,Jonathan Embry,686649,686649,sa1169879,FA,C,C
3149,Jonathan Engelmann,663834,663834,sa3006858,CLE,OF,OF
3150,Jonathan Fennell,682034,682034,sa3007811,COL,SP,SP
3151,Jonathan France,641585,641585,sa3008310,HOU,SP,SP
3152,Jonathan Guzman,666695,666695,sa917127,PHI,SS,SS
3153,Jonathan Heasley,669169,669169,22224,KC,SP,SP
3154,Jonathan Hennigan,670125,670125,sa918447,PHI,RP,RP
3155,Jonathan Hernandez,642546,642546,17464,TEX,RP,RP
3156,Jonathan Holder,656547,16588,16588,CHC,RP,RP
3157,Jonathan Homza,676074,676074,sa3004155,SD,C,C
3158,Jonathan Hughes,663670,663670,sa3014908,PHI,SP,SP
3159,Jonathan India,663697,663697,21523,CIN,2B,2B
3160,Jonathan Laureano,670415,670415,sa918576,FA,C,C
3161,Jonathan Loaisiga,642528,642528,19753,NYY,RP,RP
3162,Jonathan Lucroy,518960,7870,7870,FA,C,C
3163,Jonathan Morales,664966,664966,sa875808,COL,C,C
3164,Jonathan Muno,676827,676827,sa3004176,CHW,OF,OF
3165,Jonathan Ornelas,680716,680716,sa3006909,TEX,SS,SS
3166,Jonathan Peguero,699091,699091,sa3015794,TOR,C,C
3167,Jonathan Robertson,683770,683770,sa3009879,TOR,OF,OF
3168,Jonathan Schoop,570731,11265,11265,DET,1B/2B,1B/2B
3169,Jonathan Sierra,666626,666626,sa917303,CHC,OF,OF
3170,Jonathan Sprinkle,679062,679062,sa3014792,HOU,RP,RP
3171,Jonathan Stiever,680692,680692,24584,CHW,SP,SP
3172,Jonathan Teaney,657034,657034,sa829674,CLE,RP,RP
3173,Jonathan Villar,542340,10071,10071,CHC,2B/SS/ 3B,2B/SS/ 3B
3174,Jonathan Willems,666635,666635,sa917150,CIN,3B,3B
3175,Jonny Venters,458924,7175,7175,FA,RP,RP
3176,Jorbit Vivas,678391,678391,sa3005511,LAD,2B,2B
3177,Jordan Balazovic,666364,666364,sa918017,MIN,SP,SP
3178,Jordan Brewer,685084,685084,sa3011737,HOU,OF,OF
3179,Jordan Brink,656259,656259,sa829003,SD,RP,RP
3180,Jordan Cowan,643268,643268,sa738703,ATL,2b,2b
3181,Jordan Devencenzi,665109,665109,sa875840,FA,C,C
3182,Jordan Diaz,672478,672478,sa3003221,OAK,3B,3B
3183,Jordan DiValerio,687938,687938,sa3014865,BOS,RP,RP
3184,Jordan Gore,641625,641625,sa3004127,MIN,SS,SS
3185,Jordan Groshans,677954,677954,sa3006893,TOR,SS,SS
3186,Jordan Guerrero,622218,622218,sa658262,SD,SP,SP
3187,Jordan Hicks,663855,663855,19618,STL,SP,SP
3188,Jordan Holloway,656548,656548,20631,MIA,RP,RP
3189,Jordan Humphreys,664990,664990,sa875762,FA,SP,SP
3190,Jordan Jackson,689095,689095,sa3018172,SEA,SP,SP
3191,Jordan Johnson,607588,607588,sa602658,FA,SP,SP
3192,Jordan Jones,669437,669437,sa3009984,CLE,RP,RP
3193,Jordan Lawlar,691783,691783,sa3017662,ARI,SS,SS
3194,Jordan Leasure,673929,673929,sa3017607,LAD,RP,RP
3195,Jordan Luplow,656669,656669,16424,ARI,OF,1B/OF
3196,Jordan Lyles,543475,7593,7593,BAL,SP,SP
3197,Jordan Marks,671960,671960,sa3018192,DET,SP,SP
3198,Jordan Mikel,690464,690464,sa3015094,CHW,RP,RP
3199,Jordan Montgomery,656756,656756,16511,NYY,SP,SP
3200,Jordan Nwogu,685087,685087,sa3014530,CHC,OF,OF
3201,Jordan Pearce,676805,676805,sa915690,FA,3B,3B
3202,Jordan Procyshen,601714,601714,sa829345,TEX,C,C
3203,Jordan Qsar,682040,682040,sa3007078,TB,OF,OF
3204,Jordan Rodgers,676529,676529,sa3002874,FA,2B,2B
3205,Jordan Romano,605447,605447,16122,TOR,RP,RP
3206,Jordan Sheffield,642068,642068,19682,COL,RP,RP
3207,Jordan Stephens,596111,596111,sa875031,FA,SP,SP
3208,Jordan Walker,691023,691023,sa3014464,STL,3B,3B
3209,Jordan Weems,607179,607179,13190,WSH,RP,RP
3210,Jordan Westburg,676059,676059,sa3014499,BAL,SS,SS
3211,Jordan Wicks,696136,696136,sa3017894,CHC,SP,SP
3212,Jordan Wren,670301,670301,sa3002843,FA,OF,OF
3213,Jordan Yamamoto,657141,657141,17585,NYM,SP,SP
3214,Jordan Zimmerman,669745,669745,sa915727,FA,2b,2b
3215,Jordan Zimmermann,519455,4505,4505,FA,SP,SP
3216,Jordany Ventura,683094,683094,sa3008542,NYM,SP,SP
3217,Jordy Barley,672357,672357,sa3004148,WSH,SS,SS
3218,Jordy Mercer,474568,6547,6547,FA,DH,2B/3B
3219,Jordyn Adams,677941,677941,sa3008032,LAA,OF,OF
3220,Jorgan Cavanerio,606190,606190,sa598143,FA,SP,SP
3221,Jorge Alcala,660896,660896,19459,MIN,RP,RP
3222,Jorge Alfaro,595751,12180,12180,SD,C/OF,C/OF
3223,Jorge Barrosa,678489,678489,sa3005524,ARI,OF,OF
3224,Jorge Bonifacio,593528,12174,12174,FA,OF,OF
3225,Jorge Burgos,684222,684222,sa3008929,CLE,OF,OF
3226,Jorge Caballero,672850,672850,sa3003360,MIA,OF,OF
3227,Jorge Ferrer,680617,680617,sa3005708,CHW,SP,SP
3228,Jorge Guzman,660422,660422,17505,SF,RP,RP
3229,Jorge Juan,678478,678478,sa3005826,FA,SP,SP
3230,Jorge Lopez,605347,14527,14527,BAL,RP,RP
3231,Jorge Mateo,622761,17273,17273,BAL,SS/OF,2B/SS/ OF
3232,Jorge Morales,691494,691494,sa3016531,FA,3B,3B
3233,Jorge Ona,671250,671250,20040,SD,OF,OF
3234,Jorge Polanco,593871,13152,13152,MIN,2B/SS,2B/SS
3235,Jorge Puerta,692333,692333,sa3015606,LAD,C,C
