Season,Name,Team,PA,HR,SB,K%,BB%,BABIP,ISO,HR/FB,FB%,wRC+,SwStr%,O-Swing%,Swing%,Contact%,maxEV,Barrel%,playerid,seasonct,seasonid
2006,Gary Sheffield,NYY,166,6,5,9.60%,7.80%,0.3,0.152,12.20%,36.00%,107,7.10%,20.90%,46.50%,84.60%,,,114,1,114s1
2006,Aubrey Huff,- - -,517,21,0,12.40%,9.70%,0.267,0.203,14.60%,36.40%,107,7.00%,22.40%,44.90%,84.20%,,,1213,1,1213s1
2006,Mike Lowell,BOS,631,20,2,9.70%,7.40%,0.287,0.19,9.50%,40.50%,103,4.10%,18.70%,42.00%,90.30%,,,527,1,527s1
2006,Ben Broussard,- - -,465,21,2,22.20%,5.60%,0.333,0.194,15.60%,40.50%,108,11.60%,28.60%,50.90%,77.00%,,,312,1,312s1
2006,Jimmy Rollins,PHI,758,25,36,10.60%,7.50%,0.281,0.2,11.10%,36.90%,103,4.90%,19.90%,41.20%,88.10%,,,971,1,971s1
2006,Jeff Cirillo,MIL,290,3,1,11.40%,7.20%,0.354,0.095,3.80%,33.90%,105,5.90%,19.60%,44.60%,86.90%,,,1073,1,1073s1
2006,Nick Markakis,BAL,542,16,2,13.30%,7.90%,0.314,0.157,13.10%,29.20%,106,5.30%,23.70%,45.70%,88.40%,,,5930,1,5930s1
2006,Ian Kinsler,TEX,474,14,11,13.50%,8.40%,0.304,0.168,8.80%,44.20%,102,5.50%,20.50%,43.20%,87.20%,,,6195,1,6195s1
2006,Gerald Laird,TEX,260,7,3,20.80%,4.60%,0.353,0.177,8.20%,46.40%,102,9.90%,31.70%,49.30%,79.90%,,,1698,1,1698s1
2006,Jay Gibbons,BAL,378,13,0,12.70%,8.50%,0.29,0.181,9.60%,45.90%,105,6.30%,26.90%,45.40%,86.20%,,,141,1,141s1
2006,Jose Valentin,NYM,432,18,6,16.40%,8.60%,0.286,0.219,10.80%,53.20%,106,8.70%,20.10%,45.60%,80.60%,,,256,1,256s1
2006,Maicer Izturis,LAA,399,5,14,8.80%,9.50%,0.313,0.119,5.00%,31.80%,106,3.70%,16.90%,37.50%,90.10%,,,2437,1,2437s1
2006,Aaron Guiel,- - -,151,7,2,20.50%,9.30%,0.266,0.205,17.10%,41.40%,105,9.90%,20.70%,43.90%,77.50%,,,1503,1,1503s1
